FirstDepositAddr;ValidatorCount;DepositAddrCount;WithdrawalCreds;_pool
0xd17a3b462170c53592a165dfd007c7ed2b84f956;39955;1;39955;39955 x solo
0x59b0d71688da01057c08e4c1baa8faa629819c2a;37978;1;1047;37978 x solo
0x7b907992d6c5820ff7c80fb9e481780f2bbf30fd;20000;1;20000;20000 x solo
0x929c3ed3d1788c4862e6b865e0e02500db8fd760;11174;1;11174;9949 x solo,1225 x Abyss Finance
0x2a726c1d5dc4637d321a03fb06f2e0eff9ceb4aa;10000;1;1;10000 x solo
0xb1ec5a1a7bd30287db8f258e55e36420de8e10a8;10000;1;10000;10000 x solo
0x8f0844fd51e31ff6bf5babe21dccf7328e19fd9f;9991;1;1;9991 x solo
0x8b7f0977bb4f0fbe7076fa22bc24aca043583f5e;9795;1;9795;9795 x solo
0x5bbd9ec2ade6deccc162fed2e743c2c86eed033e;9118;4;9052;9118 x solo
0xfba3af5efcff7bcc0bab9c632c6fd51925af57fb;6000;1;1;6000 x solo
0x13f527cca1f23e682eb86b0e869fb5e90110173d;5116;28;4698;5116 x solo
0x2d56cd519540be541a3261e22e95d6507f5504ca;5000;1;5000;5000 x solo
0x75c6564298bec7e43c13f97d1dc8b9a05015c460;4185;8;4;4185 x solo
0x1fd5105be6caa14f5977180fa5c1d180ef46e3d5;4160;1;1;4160 x solo
0x2f14582947e292a2ecd20c430b46f2d27cfe213c;4006;1;4006;4006 x solo
0x40d53f2805ae75f1bb3205ebd674661b2d7f56d6;3820;1;3820;3820 x solo
0x6a5b7d2e9cfcc174e072d3e64d6676619d62cae3;3109;6;3;57 x solo,3052 x StakeWise
0xe8498498477b658c9d4dde22b41f9006b13ab04b;3076;2;1;3076 x solo
0xa111b576408b1ccdaca3ef26f22f082c49bcaa55;3000;1;2701;3000 x solo
0x57a88ab67cc8cdfd8129b775a9fa93c4fe76a871;2936;4;1;2936 x solo
0xf5794543cf6055ae710e9c8e99e31343cea004a8;2600;3;16;2600 x solo
0x9427a30991170f917d7b83def6e44d26577871ed;2535;3;1;2535 x solo
0x58861330016e7767ceaee0bf20fe3bfeeb2fd782;2471;1;2471;2471 x solo
0x1806ca7d9ea208559d0d3e7c97bcb433ce3a8004;2414;3;1;2414 x solo
0x22b039fe03ed1144a3e0a261f70952574e871ab0;2174;1;2174;2174 x Rocketpool
0xfda7e01b2718c511bf016030010572e833c7ae6a;2117;1;2001;2117 x Abyss Finance
0x0f35b0753e261375c9a6cb44316b4bdc7e765509;2001;1;2001;1996 x solo,5 x Abyss Finance
0xbabad228c66ea0066758ec6e0e76fa8205c56740;2000;1;1;2000 x solo
0x8f614cdb61e37b6f18d9705942c93fa86b04d711;1977;2;1;1977 x solo
0x723ba50089764c8b953bc2ac1019c8a94e339c13;1678;2;4;1678 x solo
0x7025cfbc3c180b5acadf9d8271308b6c2713bd7b;1573;1;1;1573 x solo
0x3b41d9736ed9bfc15a87d8fbb69c616190aed6c6;1397;2;1;1397 x solo
0x9029c772dde847622df1553ed9d9bdb7812e4f93;1274;1;2;1274 x solo
0x0cceb112e6687ea0692c7f92df5da99dbd3d7c70;1099;9;70;1099 x solo
0x3202b5b0602274197ccb22b8c02cec9539990c7c;1059;5;4;1059 x solo
0x3db9f81c2b295efbb6bc4d8b5f33fe0e090c29c4;1002;1;1002;1002 x solo
0x9d8fd30b40a77ddef8b85eae7ded3a29bc266461;1000;1;1;1000 x solo
0xea0f09a471dce34d7d3675787b1d68d841ff56d2;994;457;3;767 x solo,227 x Stakehouse
0xea8ba367326ba8c21d6d7c6a32be0d30e551532d;768;1;1;768 x solo
0xd8d046cab2de83b30469e3245d2c542439fd32a4;681;2;678;681 x solo
0x8e35f095545c56b07c942a4f3b055ef1ec4cb148;669;12;4;669 x solo
0x06a6dc2fc119775a094813b8da83b2e2644f4f70;660;1;660;660 x solo
0xbc86717bad3f8ccf86d2882a6bc351c94580a994;629;2;45;629 x solo
0x21be84ce99389889aee87bb289d89210cdbc03d4;624;1;624;624 x solo
0xc8e65f5c2fae865d8b5e71f313795405f79a84c7;601;2;273;601 x solo
0x7663b279c0537609608d90341a9f2e04a5f84d98;601;1;2;601 x solo
0x4e409db090a71d14d32adbfbc0a22b1b06dde7de;545;1;545;545 x solo
0xd0721856a8d6271c7768d67dc986d1965f685cf7;505;1;505;505 x solo
0xd4bb555d3b0d7ff17c606161b44e372689c14f4b;494;1;10;494 x solo
0x8de2d2be9036f93b4bc5f41b9dc6fb227a263ed0;437;1;437;437 x Rocketpool
0xc79d4b31539a0888a73329eaf484b6406af42efe;412;1;1;412 x solo
0x0b82831bb9e95cacfa6b427650ee3fc9a7fdd816;401;401;1;401 x solo
0xf50f1349fff8ef51a2ef23f7fbe79ea0c08b124d;400;400;1;400 x solo
0xf7ab1d834cd0a33691e9a750bd720cb6436ca1b9;400;1;1;400 x solo
0x334c40f8afd964cfb417ada161c249b94455021d;400;1;1;400 x solo
0xe45861b64aa318092164f8288c68669ef46b440d;400;1;400;400 x Rocketpool
0x634b31f29c3724f39a0fc67e5ddc536e04454136;350;1;21;350 x solo
0x58e6c421f2f4770c9fe7082f41d01ef07321cd4c;348;17;1;348 x solo
0x95ed2e550a3a90232ae664312280b908f91c5b07;312;9;2;312 x solo
0x86b8145c98e5bd25ba722645b15ed65f024a87ec;307;3;2;307 x solo
0xe03df6d240b13142d28a46e8a8c7f2a4f7cf2072;304;304;1;304 x solo
