FirstDepositAddr;ValidatorCount;DepositAddrCount;WithdrawalCreds;_pool
0x9902bf043f975029d90b22c4da1c4e9810ae8365;6919;13;1;6919 x solo
0x4c71bb5902079693f596c6a0f23df5c0c804a922;5250;22;1;5250 x solo
0x61c808d82a3ac53231750dadc13c777b59310bd9;4100;2;2;4100 x stakefish
0x580373c012a217d15b2476f5e13a0de848aca687;3997;4;1;3997 x solo
0xcdbf58a9a9b54a2c43800c50c7192946de858321;3851;1;1;3851 x solo
0x98f8407c1dd18d6ea2ecc48fdf772665ac5323c1;3850;7;1;3748 x Staked.us,102 x solo
0x38780a15b06af9b5eed0c548cae818a198755329;3222;7;1;3222 x solo
0x9c2afbda88bedc4f92b444bf3cd3d257cb0c215d;3088;1;4;3088 x solo
0x806710b651599de9838eb8b2083fec33faaaea5d;3001;2;1;3001 x solo
0x102f792028a56f13d6d99ed4ec8a6125de98582a;2721;3;47;2514 x Stakewise,207 x solo
0xf8c1c8b85ecb964650f127755a7394f1520183b1;2528;2;3;2528 x solo
0x70af49c6d84b605b5c9a18490b5b826126bbf41c;2224;1;1;2224 x Staked.us
0x70d5ccc14a1a264c05ff48b3ec6751b0959541aa;2149;1;1;2149 x solo
0xe900b070b6bef5ef6b3a94332d613f39206aa5e1;2080;31;2;2080 x solo
0x607ebc82329d0cac3027b83d15e4b4e816f131b7;2045;1;3;2045 x solo
0x0d14c93469093f585c131e3f2b077e38147ce81f;1780;133;1;1780 x solo
0x4069d8a3de3a72eca86ca5e0a4b94619085e7362;1762;1;1;1762 x Ankr
0xde12c3d2257fc9bb1c1a00d409f292eecd55ffaf;1661;2;1;1661 x Abyss
0xfd6705c7ac83f8aac6c171e542445ba87c19d8d8;1620;3;1;1620 x solo
0x7c2fc96f8703aca920949b2a0372816801298868;1601;3;1;300 x solo,1301 x Abyss
0xafe83537e2690641712446b3414f5d73927d1060;1578;1;1;661 x solo,917 x Figment
0x21d3aa7e4e1a9734d65ff2c85317e078583a3d7d;1524;8;1;1524 x solo
0x74dc5d2f63cde8f6e6800ad886bb586632b84d9e;1455;4;1;1455 x solo
0x791e76a2c5b5ced4f124253809f28548f0382cba;1429;1;1;1429 x solo
0xb92b4a201f4320a6db6d1fb2d3bac834bdaa95c9;1331;1;2;1331 x solo
0x27d71a464da941118a4e056d0737274aa308a923;1302;2;1;1302 x solo
0xcf6715cbd7a900bbbde15e8d1dd6779815258e60;1300;1;1;1300 x Staked.us
0x9bb13ae760b0c1057dd892d319631160d32170fb;1230;1;1;1230 x solo
0x2d4f5e4982f980bc61aa571ae63f66bf3577618c;1218;1;1;1218 x solo
0x46436f1fa2f9d77b146cde18d545ae3ed28057c1;1197;2;4;885 x Staked.us,312 x stakefish
0xd87c8e083aecc5405b0107c90d8e0c7f70996b84;1143;1;1;1143 x solo
0x78e13f5304581d66421e13208481e5661cc798de;1125;3;1;Staked.us,1124 x solo
0x7f10b206f94b4454dd90472b7a524d37e98fc861;1125;4;1;1125 x solo
0x60618b3c6e3164c4a72d352bde263a5d15f9f7ee;1085;1;1;1085 x solo
0x882e747c5c2e0366d4fd6f9f95780467c6549732;1080;1;1;1080 x solo
0xc44b7316936e2f004e688fd53a95e060df1811c3;1043;1;1;1043 x solo
0x631c2d8d0d7a80824e602a79800a98d93e909a9e;1016;2;1;1016 x solo
0xfa1f1f16c1409572c0e25676e38a2e64586ce53f;1015;1;1;1015 x solo
0x24d6c74d811cfde65995ed26fd08af445f8aab06;1000;1;1000;1000 x solo
0xe43cc5b6ff052f5aa931a4f9ef2bfa0c500014ca;1000;1;1000;1000 x solo
0xb830886c1027dc2978bbc1243966656d10d0f650;1000;4;1;1000 x solo
0xd6216fc19db775df9774a6e33526131da7d19a2c;927;4;1;927 x solo
0x17fa597cec16ab63a7ca00fb351eb4b29ffa6f46;921;1;921;921 x Rocketpool
0xa8582b5a0f615bc21d7780618557042be60b32ed;900;1;1;900 x solo
0xe5d03468c7805dcca64b53f2acbb9b02ca070b20;881;29;1;881 x solo
0x4d85b470c4ee762e94cb9097b03deaf7fca35be6;870;2;1;870 x solo
0xbd3a980ad6b668c3c088defab9cbed8e1aae5f7e;803;2;1;solo,802 x Abyss
0xf463e250dac44bdf9da083b9f3cdfed6a2aca4d3;800;1;1;800 x solo
0x7846b30044e6ecbbc1b16ecd9e04e78b9e5d3c48;791;1;2;791 x Staked.us
0xb506ea683f358dafb35f854eb52e1506937ffec6;780;1;1;780 x solo
0x3fb9d44bc83d0da2902e6230aed42fc219f8a426;772;1;1;772 x Staked.us
0x54b0f363e88a05cefdeb5f8c810286b439140a94;740;1;1;740 x solo
0x383d920628e14ea701953ce0bfcb7049528fbae1;740;1;1;740 x solo
0x66827bcd635f2bb1779d68c46aeb16541bca6ba8;710;1;1;710 x solo
0xe3233c1b566c15ad154111df78d34f72d6f95f40;710;1;1;710 x solo
0x3dcf4d079b723a1f18f25c32db4fa9bba4d6caae;700;1;1;700 x solo
